titulo;precio;proteinas;carbohidratos;grasas;fibra;calories;texto_busqueda;norm_precio;norm_nutri;score_nutricional
ARROZ INTEGRAL SOS, PAQUETE 1 KG;2.1;8.1;71.0;2.6;0.0;0.0;arroz integral sos paquete 1 kg eroski;0.9492031872509961;24.545454545454547;6.8999999999999995
VASITO DE ARROZ BASMATI XL BRILLANTE, PACK 2X200 G;1.95;3.7;32.0;2.3;0.0;0.0;vasito de arroz basmati xl brillante pack 2x200 g eroski;0.954183266932271;11.212121212121213;2.62
ARROZ REDONDO BRILLANTE SABROZ, PAQUETE 1 KG;2.79;6.8;74.0;1.2;0.0;0.0;arroz redondo brillante sabroz paquete 1 kg eroski;0.9262948207171314;20.606060606060606;5.9
ARROZ VAPORIZADO EROSKI, PAQUETE 1 KG;1.55;7.2;77.0;0.8;0.0;0.0;arroz vaporizado eroski paquete 1 kg eroski;0.9674634794156707;21.81818181818182;6.4
ARROZ BOMBA SOS, PAQUETE 1 KG;6.25;7.1;80.0;0.7;0.0;0.0;arroz bomba sos paquete 1 kg eroski;0.8114209827357238;21.515151515151516;6.8
VASITO DE ARROZ INTEGRAL XL BRILLANTE, PACK 2X200 G;1.95;4.0;31.0;3.5;0.0;0.0;vasito de arroz integral xl brillante pack 2x200 g eroski;0.954183266932271;12.121212121212121;2.42
ARROZ ESPECIAL PARA PAELLA SOS, PAQUETE 1 KG;3.79;7.1;76.0;1.1;0.0;0.0;arroz especial para paella sos paquete 1 kg eroski;0.8930942895086321;21.515151515151516;6.68
HUEVO FRESCO L SUELO EROSKI, CARTÓN 1 DOCENA;3.38;13.0;0.7;12.0;0.0;0.0;huevo fresco l suelo eroski cartón 1 docena eroski;0.9067065073041168;39.39393939393939;8.26
HUEVOS L EROSKI, CARTÓN 18 UDS;4.74;13.0;0.7;12.0;0.0;0.0;huevos l eroski cartón 18 uds eroski;0.8615537848605578;39.39393939393939;8.26
HUEVO FRESCO CAMPERO EUSKO LABEL EUSKABER, CARTÓN 10 UDS;4.1;0.0;0.0;0.0;0.0;0.0;huevo fresco campero eusko label euskaber cartón 10 uds eroski;0.8828021248339973;0.0;0.0
